## Average spectral response curve (electrons/photon - microns) for WISE4 array
#           Wave  Spectral_Response
  2.61348997e+00     7.00299974e-17
  2.62381996e+00     1.52200002e-16
  2.63414995e+00     1.84399994e-13
  2.64447994e+00     9.99699997e-14
  2.65480993e+00     7.62499991e-15
  2.66513992e+00     3.11799987e-33
  2.67546991e+00     1.46155430e-42
  2.68579990e+00     5.62299980e-31
  2.69612989e+00     3.09800008e-31
  2.70645988e+00     3.17600001e-31
  2.71679012e+00     2.17999998e-29
  2.72712011e+00     1.78700003e-31
  2.73745010e+00     2.70000001e-29
  2.74778009e+00     2.24700007e-36
  2.75811008e+00     2.35900010e-15
  2.76844007e+00     3.20699993e-15
  2.77877006e+00     1.19900004e-14
  2.78910005e+00     1.20199998e-14
  2.79943004e+00     8.76500038e-15
  2.80976003e+00     1.95199996e-14
  2.82009002e+00     1.03499999e-13
  2.83042001e+00     7.12600009e-15
  2.84075000e+00     1.39300000e-15
  2.85107999e+00     4.98499991e-25
  2.86140998e+00     5.09099994e-16
  2.87173997e+00     9.94399994e-15
  2.88206996e+00     8.07000000e-16
  2.89239995e+00     1.14300002e-15
  2.90272994e+00     2.03999997e-16
  2.91305993e+00     5.71900002e-15
  2.92338992e+00     5.99200001e-15
  2.93371991e+00     4.62700014e-14
  2.94404990e+00     1.74099999e-14
  2.95437989e+00     5.68200010e-29
  2.96470988e+00     3.79700008e-29
  2.97504012e+00     6.83900027e-32
  2.98537011e+00     2.24000002e-15
  2.99570010e+00     1.12700004e-14
  3.00603009e+00     8.23300033e-14
  3.01636008e+00     1.13500001e-15
  3.02669007e+00     7.36400009e-14
  3.03702006e+00     6.40699990e-14
  3.04735005e+00     9.97999968e-14
  3.05768004e+00     1.15299997e-14
  3.06801003e+00     7.82299979e-15
  3.07834002e+00     7.04200005e-16
  3.08867001e+00     7.27100028e-15
  3.09900000e+00     4.59200007e-14
  3.10932999e+00     1.05200001e-14
  3.11965998e+00     2.54399990e-13
  3.12998997e+00     1.16900006e-13
  3.14031996e+00     1.28699999e-14
  3.15064995e+00     6.28799991e-14
  3.16097994e+00     4.58799991e-34
  3.17130993e+00     7.79900015e-27
  3.18163992e+00     2.49200001e-25
  3.19196991e+00     1.71099998e-25
  3.20229990e+00     7.61700027e-30
  3.21262989e+00     4.47200018e-28
  3.22295988e+00     1.12899999e-29
  3.23329012e+00     5.43000016e-37
  3.24362011e+00     1.11900000e-30
  3.25395010e+00     8.33400005e-16
  3.26428009e+00     1.48100001e-14
  3.27461008e+00     3.62300013e-14
  3.28494007e+00     3.96200000e-14
  3.29527006e+00     3.18400003e-15
  3.30560005e+00     4.85000012e-15
  3.31593004e+00     6.31700020e-16
  3.32626003e+00     1.50800000e-13
  3.33659002e+00     1.13099998e-14
  3.34692001e+00     1.41799997e-13
  3.35725000e+00     3.20700010e-13
  3.36757999e+00     1.92299993e-14
  3.37790998e+00     7.16900023e-14
  3.38823997e+00     1.06500002e-14
  3.39856996e+00     1.64299997e-14
  3.40889995e+00     2.74499987e-13
  3.41922994e+00     8.68299996e-15
  3.42955993e+00     1.32700003e-13
  3.43988992e+00     7.67699976e-30
  3.45021991e+00     1.09200004e-34
  3.46054990e+00     2.18400003e-32
  3.47087989e+00     1.88599359e-40
  3.48120988e+00     2.68500002e-29
  3.49154012e+00     1.03000002e-36
  3.50187011e+00     4.03100011e-38
  3.51220010e+00     3.13500010e-35
  3.52253009e+00     9.47500022e-33
  3.53286008e+00     3.35600010e-34
  3.54319007e+00     1.00000000e-30
  3.55352006e+00     9.76199966e-16
  3.56385005e+00     3.06100004e-15
  3.57418004e+00     8.83499992e-16
  3.58451003e+00     5.73999976e-16
  3.59484002e+00     5.49700003e-27
  3.60517001e+00     2.26100002e-33
  3.61550000e+00     3.02800002e-28
  3.62582999e+00     5.41199988e-27
  3.63615998e+00     1.67199999e-29
  3.64648997e+00     8.00099964e-24
  3.65681996e+00     1.51700000e-30
  3.66714995e+00     5.46299982e-26
  3.67747994e+00     1.27900001e-32
  3.68780993e+00     1.35399995e-15
  3.69813992e+00     3.86600000e-14
  3.70846991e+00     3.60000014e-15
  3.71879990e+00     1.93999995e-13
  3.72912989e+00     3.36999986e-14
  3.73945988e+00     8.35299982e-14
  3.74979012e+00     4.40099990e-14
  3.76012011e+00     2.86199998e-14
  3.77045010e+00     1.12899998e-13
  3.78078009e+00     3.56300005e-14
  3.79111008e+00     6.79300027e-14
  3.80144007e+00     3.57100010e-13
  3.81177006e+00     6.57700009e-14
  3.82210005e+00     3.80300006e-15
  3.83243004e+00     2.19499999e-14
  3.84276003e+00     8.08299994e-15
  3.85309002e+00     3.63899991e-14
  3.86342001e+00     2.00399999e-14
  3.87375000e+00     7.97999989e-15
  3.88407999e+00     7.01399989e-15
  3.89440998e+00     3.61199989e-14
  3.90473997e+00     1.25999996e-14
  3.91506996e+00     4.07699997e-14
  3.92539995e+00     2.72099997e-13
  3.93572994e+00     9.82500011e-14
  3.94605993e+00     8.63500013e-14
  3.95638992e+00     4.49500014e-15
  3.96671991e+00     1.04099997e-13
  3.97704990e+00     2.35000008e-13
  3.98737989e+00     4.29899985e-14
  3.99770988e+00     9.74199969e-14
  4.00804012e+00     2.21199998e-13
  4.01837011e+00     7.68400033e-14
  4.02870010e+00     1.50600005e-13
  4.03903009e+00     6.29899981e-14
  4.04936008e+00     8.50800008e-14
  4.05969007e+00     8.04000014e-14
  4.07002006e+00     2.33300006e-13
  4.08035005e+00     6.67099974e-14
  4.09068004e+00     1.14299995e-13
  4.10101003e+00     8.49599999e-14
  4.11134002e+00     4.52100007e-14
  4.12167001e+00     1.22999999e-13
  4.13200000e+00     2.35500002e-26
  4.14233024e+00     4.85099996e-33
  4.15265998e+00     6.73200019e-31
  4.16299022e+00     1.56700001e-36
  4.17331996e+00     1.86899995e-25
  4.18365020e+00     1.06200003e-36
  4.19397994e+00     3.26699989e-25
  4.20431018e+00     1.17999997e-30
  4.21463992e+00     1.67499992e-33
  4.22497016e+00     6.41799979e-30
  4.23529990e+00     9.45100016e-30
  4.24563014e+00     8.34300004e-32
  4.25595988e+00     3.18799999e-13
  4.26629012e+00     2.32100004e-14
  4.27661986e+00     5.44399974e-13
  4.28695010e+00     1.37400001e-14
  4.29727984e+00     3.26299995e-13
  4.30761008e+00     7.63099978e-13
  4.31793982e+00     1.42799997e-12
  4.32827006e+00     1.38999999e-12
  4.33859980e+00     3.02400012e-14
  4.34893004e+00     3.25800008e-14
  4.35925978e+00     5.38899979e-13
  4.36959002e+00     1.20700004e-30
  4.37991976e+00     1.86700002e-33
  4.39025000e+00     1.62200002e-28
  4.40058024e+00     6.21500000e-28
  4.41090998e+00     2.79399988e-26
  4.42124022e+00     1.46700002e-30
  4.43156996e+00     1.38699995e-27
  4.44190020e+00     2.03499993e-28
  4.45222994e+00     5.90199993e-25
  4.46256018e+00     1.19999996e-27
  4.47288992e+00     2.15200001e-36
  4.48322016e+00     1.41400001e-36
  4.49354990e+00     8.04599985e-14
  4.50388014e+00     1.82199999e-13
  4.51420988e+00     5.06300026e-13
  4.52454012e+00     3.47300009e-14
  4.53486986e+00     3.06499997e-13
  4.54520010e+00     3.93600002e-13
  4.55552984e+00     1.18699999e-13
  4.56586008e+00     1.03400003e-12
  4.57618982e+00     5.29500014e-14
  4.58652006e+00     2.86699999e-13
  4.59684980e+00     3.80300012e-13
  4.60718004e+00     1.65700000e-13
  4.61750978e+00     1.10500002e-13
  4.62784002e+00     3.28300009e-14
  4.63816976e+00     6.24800030e-14
  4.64850000e+00     5.16699991e-14
  4.65883024e+00     2.98500001e-14
  4.66915998e+00     6.41999983e-15
  4.67949022e+00     4.06299989e-29
  4.68981996e+00     1.16300002e-32
  4.70015020e+00     1.72300001e-15
  4.71047994e+00     5.46700001e-14
  4.72081018e+00     1.95099999e-13
  4.73113992e+00     2.22199998e-13
  4.74147016e+00     2.16700003e-13
  4.75179990e+00     4.68200023e-13
  4.76213014e+00     4.24899997e-13
  4.77245988e+00     1.31600004e-12
  4.78279012e+00     4.46600005e-13
  4.79311986e+00     1.21200001e-12
  4.80345010e+00     9.13000009e-14
  4.81377984e+00     9.37999966e-15
  4.82411008e+00     9.55200003e-14
  4.83443982e+00     5.17399979e-13
  4.84477006e+00     4.06599992e-13
  4.85509980e+00     5.18999991e-13
  4.86543004e+00     4.06400011e-13
  4.87575978e+00     1.70899997e-13
  4.88609002e+00     1.87699994e-13
  4.89641976e+00     5.08099998e-14
  4.90675000e+00     6.98800013e-14
  4.91708024e+00     3.16100011e-12
  4.92740998e+00     4.61799991e-14
  4.93774022e+00     6.91600030e-14
  4.94806996e+00     8.40400002e-14
  4.95840020e+00     7.26500023e-14
  4.96872994e+00     5.17499997e-14
  4.97906018e+00     1.71400004e-13
  4.98938992e+00     5.21300017e-13
  4.99972016e+00     2.21099994e-14
  5.01004990e+00     3.92000018e-12
  5.02038014e+00     3.51100008e-12
  5.03070988e+00     3.28400003e-12
  5.04104012e+00     5.00599995e-12
  5.05136986e+00     3.83599999e-13
  5.06170010e+00     6.56699968e-14
  5.07202984e+00     1.05000000e-13
  5.08236008e+00     9.77100006e-14
  5.09268982e+00     4.55600022e-13
  5.10302006e+00     2.78199989e-13
  5.11334980e+00     7.54999969e-12
  5.12368004e+00     7.49899979e-13
  5.13400978e+00     2.01699994e-11
  5.14434002e+00     1.22399998e-11
  5.15466976e+00     6.81800016e-12
  5.16500000e+00     1.34800001e-11
  5.17533024e+00     4.32999991e-09
  5.18565998e+00     3.09000003e-09
  5.19599022e+00     5.48899992e-09
  5.20631996e+00     5.37200018e-09
  5.21665020e+00     8.35199998e-09
  5.22697994e+00     1.03400000e-08
  5.23731018e+00     9.64899982e-09
  5.24763992e+00     1.20500001e-08
  5.25797016e+00     1.27800002e-08
  5.26829990e+00     1.77199997e-08
  5.27863014e+00     1.83999997e-08
  5.28895988e+00     1.85900006e-08
  5.29929012e+00     2.04199999e-08
  5.30961986e+00     1.62199996e-08
  5.31995010e+00     2.05100008e-08
  5.33027984e+00     1.94999998e-08
  5.34061008e+00     1.42900003e-08
  5.35093982e+00     1.40400003e-08
  5.36127006e+00     1.89500007e-08
  5.37159980e+00     1.77700006e-08
  5.38193004e+00     1.77399997e-08
  5.39225978e+00     1.19900001e-08
  5.40259002e+00     1.49000003e-08
  5.41291976e+00     1.08200000e-08
  5.42325000e+00     1.02500000e-08
  5.43358024e+00     1.04100000e-08
  5.44390998e+00     9.06400022e-09
  5.45424022e+00     9.63799973e-09
  5.46456996e+00     5.34799982e-09
  5.47490020e+00     5.43200018e-09
  5.48522994e+00     2.63600008e-09
  5.49556018e+00     3.68700004e-09
  5.50588992e+00     5.26299981e-09
  5.51622016e+00     7.01799996e-09
  5.52654990e+00     8.59099991e-09
  5.53688014e+00     7.16699988e-09
  5.54720988e+00     1.20200001e-08
  5.55754012e+00     1.06400000e-08
  5.56786986e+00     1.28600002e-08
  5.57820010e+00     1.77500006e-08
  5.58852984e+00     1.98700008e-08
  5.59886008e+00     2.15800000e-08
  5.60918982e+00     2.24099992e-08
  5.61952006e+00     2.75800005e-08
  5.62984980e+00     2.73600005e-08
  5.64018004e+00     3.10200008e-08
  5.65050978e+00     3.64200012e-08
  5.66084002e+00     3.92200015e-08
  5.67116976e+00     3.88699988e-08
  5.68150000e+00     4.01400015e-08
  5.69183024e+00     3.95800015e-08
  5.70215998e+00     4.11199998e-08
  5.71249022e+00     4.17700008e-08
  5.72281996e+00     4.19899990e-08
  5.73315020e+00     4.12200016e-08
  5.74347994e+00     3.95000015e-08
  5.75381018e+00     3.91700006e-08
  5.76413992e+00     3.76699987e-08
  5.77447016e+00     3.55999994e-08
  5.78479990e+00     3.18700017e-08
  5.79513014e+00     2.81699997e-08
  5.80545988e+00     2.42699993e-08
  5.81579012e+00     2.09300008e-08
  5.82611986e+00     1.97199999e-08
  5.83645010e+00     2.13400000e-08
  5.84677984e+00     2.22600001e-08
  5.85711008e+00     2.31499993e-08
  5.86743982e+00     2.36699993e-08
  5.87777006e+00     3.26600009e-08
  5.88809980e+00     4.69099994e-08
  5.89843004e+00     6.09099970e-08
  5.90875978e+00     7.60599974e-08
  5.91909002e+00     9.47100034e-08
  5.92941976e+00     1.11299997e-07
  5.93975000e+00     1.40899999e-07
  5.95008024e+00     1.59400003e-07
  5.96040998e+00     1.88000001e-07
  5.97074022e+00     2.11800000e-07
  5.98106996e+00     2.24800004e-07
  5.99140020e+00     2.44900008e-07
  6.00172994e+00     2.74299992e-07
  6.01206018e+00     2.95400014e-07
  6.02238992e+00     3.11900010e-07
  6.03272016e+00     3.14000005e-07
  6.04304990e+00     3.29899990e-07
  6.05338014e+00     3.28900001e-07
  6.06370988e+00     3.25999991e-07
  6.07404012e+00     3.33099990e-07
  6.08436986e+00     3.57200008e-07
  6.09470010e+00     3.42699991e-07
  6.10502984e+00     3.29500011e-07
  6.11536008e+00     3.12899999e-07
  6.12568982e+00     3.04699995e-07
  6.13602006e+00     2.91600003e-07
  6.14634980e+00     2.82299993e-07
  6.15668004e+00     2.66000001e-07
  6.16700978e+00     2.43899990e-07
  6.17734002e+00     2.22699995e-07
  6.18766976e+00     2.02999999e-07
  6.19800000e+00     1.93000005e-07
  6.20833024e+00     1.74799993e-07
  6.21865998e+00     1.56799999e-07
  6.22899022e+00     1.39600004e-07
  6.23931996e+00     1.20500005e-07
  6.24965020e+00     1.02999998e-07
  6.25997994e+00     8.36700025e-08
  6.27031018e+00     7.46800026e-08
  6.28063992e+00     6.43199982e-08
  6.29097016e+00     5.26100017e-08
  6.30129990e+00     4.28100009e-08
  6.31163014e+00     3.33599992e-08
  6.32195988e+00     3.15900017e-08
  6.33229012e+00     3.52699985e-08
  6.34261986e+00     4.12799999e-08
  6.35295010e+00     4.97700015e-08
  6.36327984e+00     5.96900023e-08
  6.37361008e+00     7.21099980e-08
  6.38393982e+00     1.06800002e-07
  6.39427006e+00     1.55699993e-07
  6.40459980e+00     2.28299996e-07
  6.41493004e+00     3.42300012e-07
  6.42525978e+00     7.28200007e-07
  6.43559002e+00     6.29300018e-07
  6.44591976e+00     8.19299999e-07
  6.45625000e+00     1.09899997e-06
  6.46658024e+00     9.49699995e-07
  6.47690998e+00     2.03900004e-06
  6.48724022e+00     1.78300002e-06
  6.49756996e+00     9.83900009e-07
  6.50790020e+00     7.46500007e-07
  6.51822994e+00     2.59699988e-07
  6.52856018e+00     2.56100009e-07
  6.53888992e+00     2.33600005e-07
  6.54922016e+00     2.24199994e-07
  6.55954990e+00     1.98899997e-07
  6.56988014e+00     1.74099995e-07
  6.58020988e+00     1.44900000e-07
  6.59054012e+00     1.18700001e-07
  6.60086986e+00     1.02199998e-07
  6.61120010e+00     8.03400013e-08
  6.62152984e+00     6.63400002e-08
  6.63186008e+00     5.70000012e-08
  6.64218982e+00     5.77900003e-08
  6.65252006e+00     7.14000024e-08
  6.66284980e+00     9.28700032e-08
  6.67318004e+00     1.17799999e-07
  6.68350978e+00     1.35400001e-07
  6.69384002e+00     1.60599996e-07
  6.70416976e+00     1.86799994e-07
  6.71450000e+00     2.23900003e-07
  6.72483024e+00     2.51300008e-07
  6.73515998e+00     2.86100004e-07
  6.74549022e+00     3.19900010e-07
  6.75581996e+00     3.57200008e-07
  6.76615020e+00     3.98499992e-07
  6.77647994e+00     4.11299993e-07
  6.78681018e+00     4.48399987e-07
  6.79713992e+00     4.87600005e-07
  6.80747016e+00     5.63500009e-07
  6.81779990e+00     6.29999988e-07
  6.82813014e+00     6.94200025e-07
  6.83845988e+00     7.28200007e-07
  6.84879012e+00     8.37599998e-07
  6.85911986e+00     9.08999993e-07
  6.86945010e+00     9.93499953e-07
  6.87977984e+00     1.06200002e-06
  6.89011008e+00     1.13199997e-06
  6.90043982e+00     1.20200002e-06
  6.91077006e+00     1.18800006e-06
  6.92109980e+00     1.19599997e-06
  6.93143004e+00     1.20899995e-06
  6.94175978e+00     1.16299998e-06
  6.95209002e+00     1.09099994e-06
  6.96241976e+00     1.00499994e-06
  6.97275000e+00     8.50599974e-07
  6.98308024e+00     7.31599982e-07
  6.99340998e+00     6.58200008e-07
  7.00374022e+00     5.42500004e-07
  7.01406996e+00     5.19699995e-07
  7.02440020e+00     5.64400011e-07
  7.03472994e+00     6.81199992e-07
  7.04506018e+00     8.07399999e-07
  7.05538992e+00     9.47300009e-07
  7.06572016e+00     1.04399999e-06
  7.07604990e+00     1.20000004e-06
  7.08638014e+00     1.35699997e-06
  7.09670988e+00     1.50699998e-06
  7.10704012e+00     1.68099996e-06
  7.11736986e+00     1.90800006e-06
  7.12770010e+00     2.22299991e-06
  7.13802984e+00     2.39900010e-06
  7.14836008e+00     2.61400010e-06
  7.15868982e+00     2.88799993e-06
  7.16902006e+00     2.91800006e-06
  7.17934980e+00     3.03999991e-06
  7.18968004e+00     3.11600002e-06
  7.20000978e+00     3.17700005e-06
  7.21034002e+00     3.31799993e-06
  7.22066976e+00     3.20999993e-06
  7.23100000e+00     3.23099994e-06
  7.24133024e+00     3.34600009e-06
  7.25165998e+00     3.32800005e-06
  7.26199022e+00     3.24700000e-06
  7.27231996e+00     3.13200007e-06
  7.28265020e+00     2.91900005e-06
  7.29297994e+00     2.79300002e-06
  7.30331018e+00     2.79100004e-06
  7.31363992e+00     2.60100001e-06
  7.32397016e+00     2.61099990e-06
  7.33429990e+00     2.51799997e-06
  7.34463014e+00     2.37299992e-06
  7.35495988e+00     2.35800007e-06
  7.36529012e+00     2.17699994e-06
  7.37561986e+00     2.06699997e-06
  7.38595010e+00     1.94499989e-06
  7.39627984e+00     1.85800002e-06
  7.40661008e+00     1.67799999e-06
  7.41693982e+00     1.59900003e-06
  7.42727006e+00     1.44900002e-06
  7.43759980e+00     1.35499999e-06
  7.44793004e+00     1.24200005e-06
  7.45825978e+00     1.10799999e-06
  7.46859002e+00     1.04699996e-06
  7.47891976e+00     9.30900001e-07
  7.48925000e+00     8.79500021e-07
  7.49958024e+00     7.97999974e-07
  7.50990998e+00     7.14299972e-07
  7.52024022e+00     6.59299985e-07
  7.53056996e+00     5.93499976e-07
  7.54090020e+00     5.38899997e-07
  7.55122994e+00     4.86700003e-07
  7.56156018e+00     4.34700013e-07
  7.57188992e+00     3.78799996e-07
  7.58222016e+00     3.21800002e-07
  7.59254990e+00     2.63099992e-07
  7.60288014e+00     2.10500005e-07
  7.61320988e+00     1.59999999e-07
  7.62354012e+00     1.14000002e-07
  7.63386986e+00     1.11699997e-07
  7.64420010e+00     1.34499999e-07
  7.65452984e+00     1.70400000e-07
  7.66486008e+00     2.13800007e-07
  7.67518982e+00     2.71099992e-07
  7.68552006e+00     3.13700014e-07
  7.69584980e+00     3.57099992e-07
  7.70618004e+00     3.77499987e-07
  7.71650978e+00     3.93800008e-07
  7.72684002e+00     3.90400004e-07
  7.73716976e+00     3.99500010e-07
  7.74750000e+00     3.85600003e-07
  7.75783024e+00     3.60200005e-07
  7.76815998e+00     3.50300013e-07
  7.77849022e+00     3.23600005e-07
  7.78881996e+00     2.97800000e-07
  7.79915020e+00     2.69100013e-07
  7.80947994e+00     2.32700003e-07
  7.81981018e+00     2.07699998e-07
  7.83013992e+00     1.73299995e-07
  7.84047016e+00     1.51600005e-07
  7.85079990e+00     1.20400003e-07
  7.86113014e+00     1.08499997e-07
  7.87145988e+00     9.04500013e-08
  7.88179012e+00     8.35199998e-08
  7.89211986e+00     8.26499971e-08
  7.90245010e+00     8.27799980e-08
  7.91277984e+00     8.13899987e-08
  7.92311008e+00     8.31700007e-08
  7.93343982e+00     9.05399986e-08
  7.94377006e+00     9.45000025e-08
  7.95409980e+00     1.00400001e-07
  7.96443004e+00     1.02000001e-07
  7.97475978e+00     1.08499997e-07
  7.98509002e+00     1.18300001e-07
  7.99541976e+00     1.23000007e-07
  8.00575000e+00     1.30700002e-07
  8.01608024e+00     1.42100006e-07
  8.02640998e+00     1.45900003e-07
  8.03674022e+00     1.57900004e-07
  8.04706996e+00     1.64100001e-07
  8.05740020e+00     1.66000007e-07
  8.06772994e+00     1.72699998e-07
  8.07806018e+00     1.84399994e-07
  8.08838992e+00     1.93399998e-07
  8.09872016e+00     1.91100000e-07
  8.10904990e+00     1.94099997e-07
  8.11938014e+00     2.04299994e-07
  8.12970988e+00     2.00299993e-07
  8.14004012e+00     2.10400003e-07
  8.15036986e+00     2.16900006e-07
  8.16070010e+00     2.16800004e-07
  8.17102984e+00     2.26099999e-07
  8.18136008e+00     2.35599998e-07
  8.19168982e+00     2.46199988e-07
  8.20202006e+00     2.65300002e-07
  8.21234980e+00     2.76700007e-07
  8.22268004e+00     2.80600005e-07
  8.23300978e+00     3.06599986e-07
  8.24334002e+00     3.09699999e-07
  8.25366976e+00     3.23600005e-07
  8.26400000e+00     3.37800003e-07
  8.27433024e+00     3.39299987e-07
  8.28466047e+00     3.39899998e-07
  8.29498972e+00     3.47100013e-07
  8.30531996e+00     3.32700012e-07
  8.31565020e+00     3.32100001e-07
  8.32598043e+00     3.14400012e-07
  8.33630968e+00     3.05800000e-07
  8.34663992e+00     2.94300008e-07
  8.35697016e+00     2.77299989e-07
  8.36730039e+00     2.77299989e-07
  8.37762965e+00     2.73300003e-07
  8.38795988e+00     2.58999989e-07
  8.39829012e+00     2.57399989e-07
  8.40862035e+00     2.73199987e-07
  8.41894961e+00     2.63999993e-07
  8.42927984e+00     2.73199987e-07
  8.43961008e+00     2.86100004e-07
  8.44994032e+00     3.02300009e-07
  8.46026957e+00     3.22700004e-07
  8.47059980e+00     3.46200011e-07
  8.48093004e+00     3.78900012e-07
