time_varname,time_counter,Time variable
lon_varname,glamt,Longitude
lat_varname,gphit,Latitude
tmask_varname,tmask,3D mask on T points
dxt_varname,e1t,Zonal width of T points
dyt_varname,e2t,Meridional width of T points
dye_varname,e2u,Meridional width of V points
dxn_varname,e1v,Zonal width of U points
dzt_varname,e3t,Height of T points
,,
bathy_varname,ht,Bathymetry (None if not defined in the file)
depth_varname,gdept_1d,1D depth array
mbathy_varname,mbathy,2D array of k-indexes of the last ocean points
,,
dzt1d_varname,e3t_0,1-D scale factor
dze_varname,e3u,Height of U points (None if not defined in the file)
dzn_varname,e3v,Height of V points (None if not defined in the file)
