uid,appid,title
263,SplunkEnterpriseSecurityInstaller,Splunk Enterprise Security
1274,splunk_app_aws,Splunk App for AWS
1841,itsi,Splunk IT Service Intelligence
1876,Splunk_TA_aws,Splunk Add-on for Amazon Web Services
1928,Splunk_TA_snow,Splunk Add-on for ServiceNow
2686,splunk_app_db_connect,Splunk DB Connect
2890,Splunk_ML_Toolkit,Splunk Machine Learning Toolkit
2962,splunk_app_addon-builder,Splunk Add-on Builder
3435,Splunk_Security_Essentials,Splunk Security Essentials
4192,splunk_metrics_workspace,Splunk Metrics Workspace
4218,splunk_app_iai,Splunk Industrial Asset Intelligence
4445,splunk-business-flow,Splunk Business Flow
4710,splunk-dashboard-app,Splunk Dashboard App
